,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
VL,107.0,28.95,3.99,21.0,26.0,29.0,32.0,37.0,0.12,-0.86
LM,107.0,29.39,3.98,15.0,27.0,30.0,32.0,37.0,-0.79,1.09
SV,107.0,30.38,4.06,20.0,28.0,30.0,33.0,39.0,-0.17,0.14
BK,107.0,32.11,3.69,20.0,30.0,32.0,35.0,39.0,-0.66,0.64
Mus,107.0,30.33,5.45,15.0,27.0,30.0,34.0,40.0,-0.28,-0.36
Inter,107.0,32.0,4.36,22.0,29.0,33.0,35.0,40.0,-0.49,-0.15
Intra,107.0,30.38,3.87,21.0,28.0,30.0,33.0,40.0,0.01,-0.32
Nat,107.0,28.64,5.04,17.0,25.0,29.0,32.0,38.0,-0.24,-0.75
